Country,Bronze,Silver,Gold,TeamSize,M2012,F2012,GDP2011,Population (in thousands) total,Population in urban areas (%),Population living below the poverty line (% living on &lt; US$1 per day),Population median age (years),Population proportion over 60 (%),Population proportion under 15 (%),Population above 15 and under 60(in thousands),Life expectancy at birth (years) both sexes,Life expectancy at birth (years) female,Life expectancy at birth (years) male,Literacy_rate_youth_female,Literacy_rate_youth_male,Literacy_rate_youth_total
Barbados,0,0,0,6,6,0,"3,685,000,000.00",293,53,,36,13,18,202,75,79,72,,,
Belarus,5,5,2,172,95,77,"55,136,144,037.00",9742,73,2,38,18,15,6527,69,75,63,99.83,99.76,99.79
Belgium,2,1,0,118,74,44,"511,533,000,000.00",10430,97,,41,22,17,6362,79,82,77,,,
Belize,0,0,0,3,2,1,"1,474,000,000.00",282,48,,21,6,37,161,69,74,65,76.7,76.14,76.42
Benin,0,0,0,5,4,1,"7,294,865,847.00",8760,40,30.9,18,4,44,4555,55,55,54,33.24,59.21,45.31
Bermuda,0,0,0,8,5,3,"6,015,000,000.00",,,,,,,0,,,,,,
Bhutan,0,0,0,2,0,2,"1,688,939,892.00",649,11,,23,7,32,396,64,67,62,,,
Bolivia,0,0,0,5,3,2,"24,426,829,466.00",9354,65,23.2,21,7,38,5145,66,67,64,96.11,98.55,97.32
Bosnia and Herzegovina,0,0,0,6,4,2,"18,088,238,053.00",3926,46,,38,19,17,2513,75,78,72,99.84,99.75,99.79
Botswana,0,1,0,4,3,1,"17,627,441,191.00",1858,58,,21,5,35,1115,52,52,51,95.6,92.08,93.96
Brazil,9,5,3,266,138,128,"2,476,650,000,000.00",189323,85,7.5,27,9,28,119273,72,75,68,97.9,95.78,96.84
Brunei Darussalam,,,,,,,,382,74,,26,5,29,252,77,79,76,98.91,98.87,98.89
Bulgaria,1,1,0,63,37,26,"53,514,098,360.00",7693,70,2,41,23,14,4847,73,76,69,98.11,98.31,98.21
Burkina Faso,0,0,0,5,2,3,"10,187,211,704.00",14359,19,27.2,17,4,46,7180,47,49,46,26.48,40.38,32.97
Burundi,0,0,0,6,2,4,"2,325,972,144.00",8173,10,,17,4,45,4168,49,50,48,70.37,76.78,73.33
Cambodia,0,0,0,6,3,3,"12,875,310,959.00",14197,20,66,20,5,37,8234,62,65,59,78.9,87.92,83.38
Cameroon,0,0,0,37,10,27,"25,464,850,391.00",18175,56,17.1,19,5,41,9815,51,52,50,,,
Canada,12,5,1,279,121,158,"1,736,050,000,000.00",32577,80,,39,18,17,21175,81,83,78,,,
Cape Verde,0,0,0,3,1,2,"1,901,136,230.00",519,58,,20,5,39,291,70,72,66,96.75,95.75,96.25
Central African Republic,0,0,0,6,3,3,"2,165,868,600.00",4265,38,,18,6,42,2218,48,48,48,46.87,70.33,58.52
Chad,0,0,0,3,1,2,"9,485,741,541.00",10468,26,,17,5,46,5129,46,47,46,23.24,55.69,37.56
Chile,0,0,0,35,21,14,"248,585,000,000.00",16465,88,2,31,12,24,10538,78,81,75,99.18,98.8,98.99
China,23,27,38,371,163,208,"7,298,100,000,000.00",1328474,42,9.9,33,11,21,903362,73,75,72,98.5,99.2,98.86
Colombia,4,3,1,109,46,63,"331,655,000,000.00",45558,73,7,26,8,30,28246,74,78,71,98.37,97.52,97.96
Comoros,0,0,0,3,1,2,"610,114,091.70",818,38,,19,4,42,442,65,67,62,,,
"Congo, Dem. Rep.",,,,,,,,60644,33,,16,4,47,29716,47,49,46,63.09,77.98,70.42
"Congo, Rep.",,,,,,,,3689,61,,19,5,42,1955,54,55,53,96.52,98.36,97.44
Cook Islands,0,0,0,8,3,5,"248,000,000.00",14,64,,,8,34,8,73,75,71,,,
Costa Rica,0,0,0,11,8,3,"41,006,959,585.00",4399,62,3.3,26,8,28,2815,78,80,76,98.04,97.2,97.61
Cote d'Ivoire,,,,,,,,18914,45,14.8,19,5,41,10214,53,55,50,52.13,70.83,60.72
Croatia,2,1,3,110,65,45,"63,850,068,202.00",4556,57,2,41,22,15,2870,76,79,72,99.65,99.64,99.65
Cuba,6,3,5,110,65,45,"64,100,000,000.00",11267,75,,36,16,19,7324,78,80,76,99.95,99.96,99.96
Cyprus,0,1,0,13,9,4,"24,689,602,446.00",846,69,,35,17,19,541,80,82,79,99.82,99.74,99.77
Czech Republic,3,3,4,133,68,65,"215,215,000,000.00",10189,73,,39,20,14,6725,77,80,73,,,
Denmark,3,4,2,115,65,50,"332,677,000,000.00",5430,86,,40,22,19,3204,79,81,76,,,
Djibouti,0,0,0,6,3,3,"1,140,000,000.00",819,87,,20,5,38,467,56,58,53,,,
Dominica,0,0,0,2,1,1,"482,277,143.10",68,71,,,11,28,41,74,76,72,,,
Dominican Republic,0,1,1,35,15,20,"55,611,245,616.00",9615,68,2.8,24,8,33,5673,70,74,66,95.42,93,94.22
Ecuador,0,0,0,36,23,13,"67,002,768,302.00",13202,63,,24,9,32,7789,73,76,70,96.49,96.38,96.44
Egypt,0,2,0,116,81,35,"229,531,000,000.00",74166,43,3.1,23,7,33,44500,68,70,66,78.95,90.08,84.93
El Salvador,0,0,0,10,5,5,"23,054,100,000.00",6762,60,19,24,8,34,3922,71,75,67,90.33,86.64,88.46
Equatorial Guinea,0,0,0,2,1,1,"19,789,801,404.00",496,39,,19,6,42,258,46,47,46,94.94,94.79,94.86
